ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),City_Code
0xcdcd,DEHRES17DEL01,36.0,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55,22:10,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,DEH
0xc8b6,LUDHRES15DEL02,34.0,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20,09:30,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,LUD
0xdb64,KNPRES14DEL02,24.0,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50,20:05,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,KNP
0x5795,RANCHIRES06DEL02,31.0,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30,22:45,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,RAN
0x5554,RANCHIRES15DEL01,31.0,4.9,23.369746,85.33982,23.409746,85.37982,03-04-2022,15:10,15:15,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,RAN
0xddc5,AGRRES12DEL03,39.0,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45,0.958333333,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,AGR
0xd255,ALHRES07DEL02,21.0,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20,10:30,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,ALH
0xde72,DEHRES19DEL02,39.0,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55,0.875,Stormy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,30,DEH
0xc606,BHPRES12DEL02,20.0,4.5,0.0,0.0,0.05,0.05,11-02-2022,21:10,21:25,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,BHP
0xc444,DEHRES01DEL01,30.0,4.8,0.0,0.0,0.11,0.11,16-02-2022,23:40,23:55,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,DEH
0x156b,JAPRES03DEL02,30.0,5.0,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45,11:50,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,JAP
0x8195,RANCHIRES17DEL01,32.0,4.6,23.374878,85.335739,23.384878,85.345739,01-04-2022,10:10,10:20,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,RAN
0xc042,AGRRES010DEL01,34.0,4.7,-27.163303,78.057044,27.233303,78.127044,16-02-2022,0.958333333,23:05,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,AGR
0x35e6,JAPRES15DEL03,36.0,4.8,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50,17:55,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,JAP
0xddc8,KNPRES05DEL02,39.0,4.7,26.479108,80.315042,26.499108,80.335042,11-02-2022,10:35,10:50,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,KNP
0x6c38,RANCHIRES11DEL03,31.0,4.8,23.359194,85.325447,23.419194,85.385447,01-03-2022,23:10,23:15,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,RAN
