ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),City_Code,Region,Order_Hour
0xc9cf,KOLRES15DEL03,21.0,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15,21:30,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,KOL,North India,21
0x3231,JAPRES16DEL03,27.0,5.0,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35,20:40,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,JAP,North India,20
0x2876,RANCHIRES02DEL01,32.0,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35,21:45,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,RAN,North India,21
0xc644,KOLRES16DEL02,37.0,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55,0.458333333,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,KOL,North India,10
0x8aa2,JAPRES18DEL02,25.0,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25,22:35,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,JAP,North India,22
0x6d19,INDORES12DEL02,38.0,4.9,22.74806,75.8934,22.76806,75.9134,11-03-2022,08:40,08:55,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,IND,North India,8
0x6757,INDORES05DEL02,24.0,4.3,22.727021,75.884167,22.747021,75.904167,15-03-2022,08:45,0.375,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,IND,North India,8
0x8339,RANCHIRES07DEL02,36.0,4.9,23.359407,85.325055,23.439407,85.405055,02-03-2022,18:25,18:35,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,RAN,North India,18
0x6e0d,RANCHIRES03DEL03,24.0,4.6,0.0,0.0,0.06,0.06,07-03-2022,23:25,23:40,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,RAN,North India,23
0x5ef5,INDORES03DEL02,29.0,4.5,22.751857,75.866699,22.881857,75.996699,04-03-2022,22:55,23:05,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,IND,North India,22
0xcf18,ALHRES05DEL01,29.0,4.7,25.457687,81.835585,25.497687,81.875585,11-02-2022,15:25,15:30,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,ALH,North India,15
0x96d2,JAPRES01DEL03,22.0,4.8,26.90519,75.810753,26.99519,75.900753,29-03-2022,20:40,20:55,Sandstorms,Jam,1,Snack,scooter,1.0,No,Urban,22,JAP,North India,20
0x9c2a,JAPRES16DEL01,36.0,5.0,26.849596,75.800512,26.859596,75.810512,15-03-2022,08:20,08:25,Fog,Low,2,Meal,scooter,1.0,No,Urban,15,JAP,North India,8
0xaabd,JAPRES010DEL03,22.0,4.7,26.921411,75.793604,26.981411,75.853604,11-03-2022,23:35,23:40,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,17,JAP,North India,23
0xc733,ALHRES11DEL01,20.0,4.8,0.0,0.0,0.07,0.07,12-02-2022,22:35,22:50,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,17,ALH,North India,22
0xded5,ALHRES11DEL02,32.0,4.9,0.0,0.0,0.08,0.08,18-02-2022,17:50,0.75,Cloudy,Medium,0,Meal,motorcycle,3.0,Yes,Urban,48,ALH,North India,17
0x5ef3,RANCHIRES01DEL03,39.0,4.6,23.416792,85.316842,23.446792,85.346842,11-03-2022,18:35,18:50,Sandstorms,Medium,2,Buffet,motorcycle,0.0,No,Urban,32,RAN,North India,18
0xacd8,RANCHIRES04DEL03,33.0,4.6,23.359033,85.325347,23.449033,85.415347,12-03-2022,21:15,21:25,Windy,Jam,0,Snack,motorcycle,2.0,Yes,Urban,50,RAN,North India,21
0xbfb4,KOLRES14DEL02,21.0,4.6,22.552996,88.35231,22.572996,88.37231,17-02-2022,11:55,0.5,Stormy,High,1,Snack,scooter,1.0,No,Urban,16,KOL,North India,11
