ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),City_Code,Region,Order_Hour
0xd987,KOCRES16DEL01,21.0,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55,15:05,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,KOC,South India,14
0x3aab,MYSRES01DEL01,35.0,4.0,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55,15:10,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,MYS,South India,14
0x6f67,HYDRES14DEL01,34.0,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40,20:50,Cloudy,Jam,0,Snack,motorcycle,,No,Metropolitian,41,HYD,South India,20
0x6c6b,COIMBRES13DEL01,37.0,5.0,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15,08:30,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,COI,South India,8
0xb816,CHENRES19DEL02,33.0,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30,19:45,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,CHE,South India,19
0xa1b2,CHENRES01DEL01,29.0,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35,18:50,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,CHE,South India,18
0x2288,BANGRES09DEL03,32.0,4.0,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20,21:35,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,BAN,South India,21
0x3e60,COIMBRES02DEL03,31.0,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35,22:50,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,COI,South India,22
0x4bda,HYDRES17DEL02,35.0,5.0,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45,09:55,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,HYD,South India,9
0x9d26,BANGRES17DEL02,26.0,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40,08:55,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,BAN,South India,8
0x5d99,CHENRES11DEL01,35.0,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25,17:30,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,CHE,South India,17
0xa30b,CHENRES11DEL01,37.0,4.8,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45,16:55,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,CHE,South India,16
0x25fd,BANGRES19DEL01,31.0,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45,22:55,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,BAN,South India,22
0x7ac8,COIMBRES14DEL02,28.0,4.8,11.003681,76.975525,11.083681,77.055525,04-04-2022,20:45,20:55,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,COI,South India,20
0x272d,COIMBRES07DEL03,24.0,4.7,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55,0.75,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,COI,South India,17
0xb55a,MYSRES04DEL03,33.0,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55,0.916666667,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,22,MYS,South India,21
0xa258,CHENRES12DEL03,39.0,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10,20:15,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,CHE,South India,20
0x1a70,MYSRES14DEL02,29.0,4.7,0.0,0.0,0.02,0.02,09-03-2022,10:35,10:45,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,MYS,South India,10
0x4b7f,HYDRES13DEL03,26.0,4.7,17.431477,78.40035,17.491477,78.46035,05-03-2022,23:50,24:05:00,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,HYD,South India,23
0xb962,CHENRES11DEL03,35.0,4.1,13.064181,80.236442,13.154181,80.326442,12-03-2022,20:25,20:40,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,CHE,South India,20
0x633c,BANGRES010DEL03,39.0,4.6,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50,0.875,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,BAN,South India,20
0x1fb7,CHENRES02DEL01,25.0,4.4,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15,18:20,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,CHE,South India,18
0x56ad,HYDRES04DEL03,24.0,4.6,17.411028,78.329645,17.471028,78.389645,09-03-2022,20:45,20:55,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,HYD,South India,20
0x1d60,BANGRES12DEL01,24.0,5.0,12.939496,77.625999,12.949496,77.635999,01-03-2022,10:50,10:55,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,BAN,South India,10
0x95fb,HYDRES05DEL01,25.0,4.2,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25,21:40,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,HYD,South India,21
0x97e3,MYSRES16DEL02,29.0,5.0,12.316967,76.603067,12.366967,76.653067,01-04-2022,22:20,22:25,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,MYS,South India,22
0x4161,COIMBRES19DEL02,33.0,4.7,11.022298,76.998349,11.072298,77.048349,11-03-2022,23:25,23:30,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,COI,South India,23
0x1236,MYSRES07DEL01,36.0,4.4,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40,12:55,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,MYS,South India,12
0x3185,HYDRES19DEL03,25.0,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55,24:10:00,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,HYD,South India,23
0x4863,COIMBRES02DEL01,25.0,4.6,11.022477,76.995667,11.032477,77.005667,01-03-2022,10:25,10:40,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,COI,South India,10
0x22ad,BANGRES03DEL03,27.0,4.6,12.979166,77.640709,13.069166,77.730709,04-03-2022,21:25,21:40,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,BAN,South India,21
0x6781,MYSRES12DEL02,21.0,4.3,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10,20:20,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,MYS,South India,20
0x1aea,COIMBRES12DEL02,32.0,4.2,11.000762,76.981876,11.130762,77.111876,08-03-2022,20:35,20:45,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,COI,South India,20
0x628c,BANGRES15DEL02,31.0,4.8,12.975377,77.696664,13.025377,77.746664,01-03-2022,22:15,22:25,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,BAN,South India,22
0x4beb,MYSRES08DEL01,20.0,4.8,12.297954,76.665169,12.307954,76.675169,30-03-2022,09:15,09:30,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Unknown,16,MYS,South India,9
0x99e7,COIMBRES17DEL01,37.0,4.8,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55,15:05,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,COI,South India,14
0x39ef,CHENRES11DEL01,32.0,4.9,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50,0.708333333,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,CHE,South India,16
0xbd03,COIMBRES12DEL02,23.0,4.9,11.000762,76.981876,11.130762,77.111876,18-03-2022,1,24:15:00,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,COI,South India,1
0xa480,BANGRES19DEL02,27.0,4.6,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30,23:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,BAN,South India,23
0x1602,BANGRES010DEL03,21.0,4.9,12.933298,77.614293,13.023298,77.704293,12-03-2022,17:45,0.75,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,BAN,South India,17
0x894e,BANGRES12DEL02,28.0,4.8,12.939496,77.625999,12.989496,77.675999,24-03-2022,23:10,23:15,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,BAN,South India,23
0x655,HYDRES14DEL01,33.0,4.4,17.426228,78.407495,17.436228,78.417495,05-03-2022,08:30,08:40,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,HYD,South India,8
0x20f6,BANGRES11DEL03,20.0,4.6,12.934365,77.616155,13.024365,77.706155,18-03-2022,20:35,20:50,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,BAN,South India,20
0x3db1,COIMBRES13DEL03,31.0,4.3,11.003669,76.976494,11.063669,77.036494,13-03-2022,23:25,23:40,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,COI,South India,23
0x64cc,CHENRES19DEL01,31.0,4.2,12.986047,80.218114,13.096047,80.328114,23-03-2022,21:20,21:30,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,CHE,South India,21
0x2ed0,HYDRES02DEL03,39.0,4.1,17.41233,78.449654,17.47233,78.509654,24-03-2022,21:45,21:50,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,HYD,South India,21
0x35d8,COIMBRES17DEL03,37.0,4.9,11.026117,76.944652,11.056117,76.974652,09-03-2022,18:10,18:20,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,COI,South India,18
0x81a5,BANGRES04DEL03,26.0,4.4,12.98041,77.640489,13.04041,77.700489,07-03-2022,23:20,23:30,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Unknown,23,BAN,South India,23
0xae56,COIMBRES02DEL01,24.0,4.6,11.022477,76.995667,11.132477,77.105667,04-03-2022,17:50,0.75,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,COI,South India,17
0x9b79,MYSRES13DEL01,39.0,4.8,12.310972,76.659264,12.350972,76.699264,01-04-2022,12:30,12:45,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,MYS,South India,12
0x596a,COIMBRES03DEL02,20.0,4.7,11.025083,77.015393,11.105083,77.095393,20-03-2022,17:10,17:20,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,COI,South India,17
0x78aa,MYSRES16DEL02,20.0,5.0,12.316967,76.603067,12.446967,76.733067,31-03-2022,19:15,19:30,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,MYS,South India,19
0x55b1,COIMBRES11DEL01,36.0,4.8,11.001753,76.986241,11.111753,77.096241,29-03-2022,18:45,18:50,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,COI,South India,18
0x5631,HYDRES18DEL03,35.0,4.8,17.450851,78.379347,17.540851,78.469347,04-03-2022,17:25,17:35,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,HYD,South India,17
0x1dac,CHENRES07DEL03,33.0,4.5,13.081878,80.248519,13.171878,80.338519,04-03-2022,23:45,1,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,CHE,South India,23
0xde01,KOCRES010DEL01,39.0,4.7,10.035573,76.336958,10.105573,76.406958,14-02-2022,18:30,18:35,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,KOC,South India,18
0x3645,CHENRES20DEL01,37.0,4.5,12.975996,80.221898,12.985996,80.231898,17-03-2022,08:40,08:55,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,CHE,South India,8
0x1ff1,MYSRES04DEL03,37.0,4.7,12.3085,76.665808,12.3385,76.695808,01-04-2022,22:35,22:40,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,MYS,South India,22
0xb4ba,HYDRES19DEL02,25.0,4.9,17.458998,78.500366,17.508998,78.550366,07-03-2022,22:30,22:35,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,HYD,South India,22
0x88dd,MYSRES010DEL01,38.0,4.7,12.321214,76.621094,12.361214,76.661094,30-03-2022,13:10,13:20,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,MYS,South India,13
0x87a8,MYSRES04DEL03,31.0,4.6,12.3085,76.665808,12.3685,76.725808,19-03-2022,17:55,18:05,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,MYS,South India,17
0x290c,MYSRES18DEL01,35.0,4.9,12.337928,76.617889,12.407928,76.687889,02-03-2022,21:15,21:20,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,MYS,South India,21
0x33a4,CHENRES15DEL03,35.0,4.7,13.026286,80.275235,13.056286,80.305235,21-03-2022,21:20,21:30,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,CHE,South India,21
0x4b5b,MYSRES04DEL03,38.0,4.3,12.3085,76.665808,12.3985,76.755808,04-04-2022,21:15,21:25,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,MYS,South India,21
0x1f0e,MYSRES12DEL03,36.0,4.9,12.284747,76.625861,12.344747,76.685861,05-04-2022,17:45,17:55,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,MYS,South India,17
0x57fc,MYSRES09DEL01,20.0,4.5,12.323194,76.630583,12.363194,76.670583,17-03-2022,12:50,12:55,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,MYS,South India,12
0xa0a5,BANGRES14DEL03,26.0,4.8,12.949934,77.699386,13.009934,77.759386,09-03-2022,19:35,19:40,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,BAN,South India,19
0x256c,MYSRES13DEL02,22.0,4.3,12.310972,76.659264,12.330972,76.679264,07-03-2022,10:10,10:25,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,MYS,South India,10
0x7bfb,COIMBRES11DEL02,20.0,4.5,11.001753,76.986241,11.021753,77.006241,03-04-2022,08:50,0.375,Fog,Low,1,Snack,motorcycle,0.0,No,Unknown,11,COI,South India,8
0x1568,BANGRES01DEL01,36.0,4.8,12.933284,77.615428,13.003284,77.685428,06-03-2022,17:55,18:10,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,BAN,South India,17
0x41ea,MYSRES08DEL01,24.0,4.7,12.297954,76.665169,12.337954,76.705169,19-03-2022,15:30,15:40,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,MYS,South India,15
0x1c60,MYSRES15DEL01,32.0,4.7,12.352058,76.60665,12.362058,76.61665,21-03-2022,09:40,09:50,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,MYS,South India,9
0x7944,CHENRES02DEL03,25.0,5.0,13.086438,80.220672,13.146439,80.280672,19-03-2022,18:20,18:25,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,CHE,South India,18
0x77ee,HYDRES12DEL01,27.0,4.5,17.429585,78.392621,17.469585,78.432621,28-03-2022,15:35,15:50,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,HYD,South India,15
0x2192,BANGRES07DEL01,32.0,4.1,12.978453,77.643685,13.048453,77.713685,29-03-2022,18:15,18:30,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,BAN,South India,18
0x48c7,CHENRES09DEL01,23.0,4.7,13.044694,80.26147,13.084694,80.30147,17-03-2022,16:55,0.708333333,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,CHE,South India,16
0x78bf,BANGRES04DEL02,39.0,4.4,12.98041,77.640489,13.11041,77.770489,29-03-2022,18:10,18:15,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,BAN,South India,18
0xcff0,KOCRES03DEL01,25.0,5.0,10.020683,76.310631,10.030683,76.320631,13-02-2022,10:55,0.458333333,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,KOC,South India,10
0x98ca,BANGRES17DEL02,33.0,4.7,12.972532,77.608179,13.022532,77.658179,09-03-2022,18:10,18:25,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,BAN,South India,18
0x7a2d,HYDRES14DEL02,36.0,4.6,17.426228,78.407495,17.506228,78.487495,04-04-2022,23:40,23:50,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,HYD,South India,23
0xab33,BANGRES08DEL02,27.0,4.9,12.906229,77.596791,12.986229,77.676791,02-03-2022,23:25,23:40,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,BAN,South India,23
0x7646,BANGRES010DEL02,26.0,4.8,12.933298,77.614293,13.013298,77.694293,27-03-2022,19:30,19:40,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,BAN,South India,19
0x7ef7,COIMBRES16DEL02,31.0,4.5,11.010375,76.95295,11.090375,77.03295,06-04-2022,20:25,20:40,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,COI,South India,20
0x1136,HYDRES20DEL01,28.0,4.6,17.483216,78.552111,17.523216,78.592111,26-03-2022,12:35,12:50,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,HYD,South India,12
0x199d,COIMBRES15DEL02,21.0,4.0,11.006686,76.951736,11.056686,77.001736,28-03-2022,22:45,22:50,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,COI,South India,22
0x27fe,CHENRES14DEL02,38.0,4.8,13.026279,80.174568,13.046279,80.194568,28-03-2022,10:25,10:30,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,CHE,South India,10
0x1536,HYDRES06DEL03,39.0,4.9,17.455894,78.375467,17.485894,78.405467,03-03-2022,22:20,22:30,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,HYD,South India,22
0x9c9a,COIMBRES02DEL01,33.0,4.4,11.022477,76.995667,11.092477,77.065667,14-03-2022,21:30,21:45,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,COI,South India,21
0x1045,COIMBRES16DEL01,24.0,4.9,11.010375,76.95295,11.050375,76.99295,21-03-2022,15:10,15:20,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,COI,South India,15
0xe76,CHENRES06DEL02,30.0,4.6337736972250205,13.054347,80.257221,13.104347,80.307221,15-03-2022,18:35,18:40,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,CHE,South India,18
0xaefa,BANGRES06DEL03,29.0,4.5,12.979096,77.640625,13.009096,77.670625,03-04-2022,18:45,18:50,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,BAN,South India,18
0xd902,KOCRES14DEL01,32.0,4.4,10.027014,76.308053,10.137014,76.418053,12-02-2022,21:45,21:55,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,KOC,South India,21
0x4f0c,COIMBRES14DEL02,30.0,4.7,11.003681,76.975525,11.133681,77.105525,02-03-2022,22:45,22:55,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,COI,South India,22
0x8456,CHENRES19DEL01,22.0,4.7,12.986047,80.218114,13.096047,80.328114,04-04-2022,20:10,20:20,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,CHE,South India,20
0x3329,COIMBRES15DEL02,36.0,4.7,11.006686,76.951736,11.056686,77.001736,09-03-2022,18:20,18:35,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,COI,South India,18
