ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),City_Code,Region,Order_Hour
0x4bda,HYDRES17DEL02,35.0,5.0,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45,09:55,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,HYD,South India,9
0xa30b,CHENRES11DEL01,37.0,4.8,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45,16:55,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,CHE,South India,16
0x272d,COIMBRES07DEL03,24.0,4.7,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55,0.75,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Urban,19,COI,South India,17
0x3185,HYDRES19DEL03,25.0,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55,24:10:00,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,HYD,South India,23
0x4863,COIMBRES02DEL01,25.0,4.6,11.022477,76.995667,11.032477,77.005667,01-03-2022,10:25,10:40,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,COI,South India,10
0x78aa,MYSRES16DEL02,20.0,5.0,12.316967,76.603067,12.446967,76.733067,31-03-2022,19:15,19:30,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,MYS,South India,19
0x55b1,COIMBRES11DEL01,36.0,4.8,11.001753,76.986241,11.111753,77.096241,29-03-2022,18:45,18:50,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,COI,South India,18
0xde01,KOCRES010DEL01,39.0,4.7,10.035573,76.336958,10.105573,76.406958,14-02-2022,18:30,18:35,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,KOC,South India,18
0x48c7,CHENRES09DEL01,23.0,4.7,13.044694,80.26147,13.084694,80.30147,17-03-2022,16:55,0.708333333,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,CHE,South India,16
0x98ca,BANGRES17DEL02,33.0,4.7,12.972532,77.608179,13.022532,77.658179,09-03-2022,18:10,18:25,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,BAN,South India,18
0x7ef7,COIMBRES16DEL02,31.0,4.5,11.010375,76.95295,11.090375,77.03295,06-04-2022,20:25,20:40,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,COI,South India,20
0x9c9a,COIMBRES02DEL01,33.0,4.4,11.022477,76.995667,11.092477,77.065667,14-03-2022,21:30,21:45,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,COI,South India,21
0xe76,CHENRES06DEL02,30.0,4.6337736972250205,13.054347,80.257221,13.104347,80.307221,15-03-2022,18:35,18:40,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,CHE,South India,18
0x8456,CHENRES19DEL01,22.0,4.7,12.986047,80.218114,13.096047,80.328114,04-04-2022,20:10,20:20,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,CHE,South India,20
0xadd6,CHENRES01DEL01,34.0,4.9,13.005801,80.250744,13.115801,80.360744,23-03-2022,21:50,22:05,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,50,CHE,South India,21
0xbe78,BANGRES15DEL02,29.0,4.5,12.975377,77.696664,13.055377,77.776664,31-03-2022,22:25,22:40,Windy,Low,1,Snack,scooter,0.0,No,Urban,13,BAN,South India,22
